UPDATED APR 2026,,HP Athlete Program,HP Athlete Program,HP Athlete Program,HP Athlete Program,HP Athlete Program,HP Athlete Program,HP Athlete Program,Pathway Progression,HP Athlete Program,HP Coaching,HP Coaching,HP Coaching,HP Coaching,HP Coaching,HP Coaching,Pathway Progression,Pathway Progression,SSSM Enhnancement,HP Coaching,SSSM Enhnancement,SSSM Enhnancement,SSSM Enhnancement,Pathway Progression,Pathway Progression,Pathway Progression,Pathway Progression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sport,Sport Type,Avg Athlete Training Days (PSO-directed),Avg Competition Days,% Athletes Directed by PSO/Club YTP,% Athletes Completed CAC Safe Sport,% Athletes MSK Screen (12 mo),% Athletes Fitness Tested ?2x/yr,% Athletes Attended NSO Events,% Athletes Registered with CSI Pacific,% Athletes Prov Dev 1,% Coaches Financially Supported by PSO,% Coaches with NCCP Safe Sport,% Coaches Attended NSO Events,% Coaches Registered with CSI Pacific,% Coaches with Comp-Dev Certification,% Coaches with Pro Coach Status,Avg % of BC Athletes Selected to NT,Avg % Domestic Medals Won by BC Athletes/Teams,Targeted Athlete per Practitioner,Athlete:Coach Ratio,% Athletes Accessing Sport Sci/Med,Avg PSO-directed S&C Days,% Athletes Directed by S&C Plan,% Avg Conversions to Any Level (4y),Total Conversion Prov?Nat (4y),"Avg Years Targeted (Prov Dev, 2025–26)",% SC Carded Athletes Based in BC,Sport,Avg Athlete Training Days (PSO-directed)70th Perc,Avg Competition Days70th Perc,% Athletes Directed by PSO/Club YTP70th Perc,% Athletes Completed CAC Safe Sport70th Perc,% Athletes MSK Screen (12 mo)70th Perc,% Athletes Fitness Tested ?2x/yr70th Perc,% Athletes Attended NSO Events70th Perc,% Athletes Registered with CSI Pacific70th Perc,% Athletes Prov Dev 170th Perc,% Coaches Financially Supported by PSO70th Perc,% Coaches with NCCP Safe Sport70th Perc,% Coaches Attended NSO Events70th Perc,% Coaches Registered with CSI Pacific70th Perc,% Coaches with Comp-Dev Certification70th Perc,% Coaches with Pro Coach Status70th Perc,Avg % of BC Athletes Selected to NT70th Perc,Avg % Domestic Medals Won by BC Athletes/Teams70th Perc,Practitioners per Targeted Athlete70th Perc,Athlete:Coach Ratio70th Perc,% Athletes Accessing Sport Sci/Med70th Perc,Avg PSO-directed S&C Days70th Perc,% Athletes Directed by S&C Plan70th Perc,% Avg Conversions to Any Level (4y)70th Perc,% Avg Conversion Prov?Nat (4y)70th Perc,"Avg Years Targeted (Prov Dev, 2025–26)70th Perc",% SC Carded Athletes Based in BC70th Perc,HP Athlete Program 70 total,HP Coaching 70th total,Pathway Progression 70th total,SSSM Enhancement 70th total,TOTAL REPORT SCORE 70th Total,Rank Category Athlete Program,Rank Category Coaching,Rank Category Pathway Prog,Rank Category SSSM,FY26Profile,FY26Fitness,FY26Coach,FY26Fund,FY26Total,Rank Profile Category,Rank Fitness Category,Rank Coach Category,Rank Fund Category,FY26 Total Score,Rank Based on Total,TOTAL RANK CATEGORY,PD1 Fees and Dues (EE Actuals 2025),PD1 Daily Training Associated fees (EE Actuals 2025),PD1 Competition Associated fees (EE Actuals 2025),PD1 Camp based fees (EE Actuals 2025),PD1 Other Fees (EE Actuals 2025),PD1 TOTAL (EE Actuals 2025),PD2 Fees and Dues (EE Actuals 2025),PD2 Daily Training Associated fees (EE Actuals 2025),PD2 Competition Associated fees (EE Actuals 2025),PD2 Camp based fees (EE Actuals 2025),PD2 Other Fees (EE Actuals 2025),PD2 TOTAL (EE Actuals 2025),,Comment 1,Comment 2,Comment 3,Comment 4
Alpine Ski,CGS,81.66666667,46,93.33333333,100,33.33333333,100,100,40,33.33333333,100,100,100,93.33333333,73.33333333,6.666666667,37.5,36.80555556,7.5,2,43.33333333,58.66666667,33.33333333,26.2,2,3.92,34.7826087,Alpine Ski,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,4,6,4,0,14,Top Third,Top Third,Top Third,Middle Third,4.1,4.5,4.0,3.7,16.3,Top Third,Top Third,Top Third,Top Third,30.3,2,Top Third," $26,000.00 "," $3,000.00 "," $3,000.00 "," $3,000.00 ", $-   ," $35,000.00 ", $-   , $-   , $-   , $-   , $-   , $-   ,Alpine Skiing,"Alpine was more engaged in the process this year, good to see. There is more quality evidence of tracked metrics in physical, technical and gaps through athlete profile. Some better visibility on testing and race times of PD2. Gap analysis was quite clear. Ability to intervene in the competition phase was limited but reasonable in context. Sport costs around weather have been quite impactful to bottom line financial strain. Limited access to Europe this year. Great video analysis, heart rate and bronco informed modifications to fitness. Good monitoring of imbalances between book end FMS engagements. NCCP gaps are monitored well, HP is the biggest gap but challenging to address at the club level. Minimum standards are in place and clear strategies to offer programming to address. EE use of funds is clear and consistently applied. reporting standards were much better this year. The change in funds had the desired affect in my view. ","Good presentation, lots of data and info presented on athletes, good level of monitoring of speed, strength and power along with the mental prep side. Coach education at a high level with a big emphasis on PD.","Strong presentation and good to have Morgan (Head Coach) report on the athlete profiles.  Good to see data informing decision making and some level of engagement with athletes through performance plans (seemed like every 3-4 months). Some comments on monitoring regional FIS level athletes and ACA beginning to track fitness testing standards across Canada.  Limited data management strategy, but certainly have potential given the data that is being captured.  Alpine does coaching well and benefits from coach longevity in the system, that said, younger (particularly female) coaches are harder to recruit into full-time coaching roles, and the gap to HP often takes a lot of experience.  Pathway to National programs seems dubious and while ACA has Devo team, athletes will likely decide whether the cost benefit is greater to go to the NCAA or stay with ACA (Pay to play).  From an athlete perspective, being able to go to university and continue to race is an advantage over committing the same time and resources to the Devo team.   EE funds are used toward program enhancement with good understanding where funds may be deployed.",
Artistic Gymnastics,Judged,237.0833333,9.916666667,100,75,75,62.5,39.58333333,79.16666667,50,66.66666667,91.11111111,13.33333333,48.88888889,77.77777778,20,33.27641494,18.76984127,12,1.066666667,93.75,205.75,100,52.7,23,4.45,9.523809524,Artistic Gymnastics,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,3,4,4,3,14,Top Third,Top Third,Top Third,Top Third,3.3,3.1,2.8,3.0,12.2,Middle Third,Middle Third,Botttom Third,Middle Third,26.2,6,Top Third," $5,000.00 "," $10,000.00 "," $6,000.00 "," $2,000.00 "," $1,000.00 "," $24,000.00 "," $5,000.00 "," $10,000.00 "," $3,000.00 ", $500.00 ," $1,000.00 "," $19,500.00 ",Artistic Gymnastics,"Good presentation and inclusion from other people to provide information.   Good to see Jenn Trew (Gym Can) in attendance.   Good to see the application of the skills matrix in MAG program and long term perspective on skill development versus code of points.  Good evidence from TG on strength interventions but no data to support what is happening.  That said,  CSI Pacific involved and can help in tracking data.  WAG remains a bit of an outlier in the system of gymnastics, where GymBC seems to have more impact in MAG and TG.  Athlete performance advisors are likely a good initiative if modelled off of other sports and personal coaches and athletes are monitored on consistent KPIs to inform athlete performance conversations.","Great presentation by GymBC, There is a range of metrics being tracked from MAG and TG. For MAG, there was a clear outline of skills and how they were scored over the year. For TG they did an excellent job outlining jump height as a KPI and how they plan to improve and monitor. An area for improvement could be around MAGs targeted approach to improve KPIs, as well as a plan to improve collaboration from WAG, as this was stated as a gap. ","Mag passport outlines the needs around score advancement and there is some evidence of timing for skills to be implemented. Repetition of skills is still outlined and competition scores are still the main KPI and intervention. Really good to hear that there is more wholistic monitoring of athlete health and focus.  Trampoline has much clearer strategy on how to get to a system level way to measure success. Although it is all still in the developing stage so there is limited evidence to present. NCCP was presented in a socialized mentorship approach mostly through Mens camps and tramp again. This hints to more of a clear project strategy that needs more direction. Not clear how NCCP standards are being upheld in the club, only the FOP. Good to see a science based project emerging with Sport Sask. Program is trending up, but still has a ways to go. EE funds are spent, but the detail is not clear as it could be. ","Moving in the right direction, little influence at the club level but they are trying to build relationships."
Artistic Swimming,Judged,16,0,100,100,0,100,6.25,68.75,0,28.57142857,85.71428571,0,28.57142857,71.42857143,0,0,11.11111111,16,2.285714286,56.25,0,56.25,,,,0,Artistic Swimming,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,3,1,0,0,4,,,,,,,,,,,,,,,#N/A,#N/A," $29,000.00 "," $10,000.00 "," $10,200.00 "," $20,500.00 "," $1,050.00 "," $70,750.00 "," $20,500.00 "," $5,000.00 "," $5,550.00 "," $7,200.00 ", $525.00 ," $38,775.00 ",Artistic Swimming,,,,
Athletics,CGS,0,6.666666667,93.69369369,35.13513514,9.90990991,91.89189189,7.207207207,80.18018018,36.03603604,24.52830189,52.83018868,3.773584906,56.60377358,47.16981132,7.547169811,22.48862284,27.97676559,2.134615385,2.094339623,41.44144144,0,68.46846847,32.1,23,4.12,13.15789474,Athletics,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,0,1,3,1,5,Botttom Third,Botttom Third,Middle Third,Middle Third,1.7,1.7,2.2,3.2,8.7,Botttom Third,Botttom Third,Botttom Third,Middle Third,13.7,23,Botttom Third," $3,200.00 "," $2,500.00 "," $3,300.00 "," $5,250.00 "," $1,500.00 "," $15,750.00 "," $2,200.00 "," $1,000.00 "," $2,500.00 ", $700.00 ," $1,500.00 "," $7,900.00 ",Athletics,"A presentation that seems to defend the use of EE funding and barriers/challenges to aligning to EE standards.  While I agree that having many different events can be challenging, the process to use data informed decision making can be consistently applied across the events.  What will be different is the type of data chosen.  Coaching remains a common issue where There does not seem to be the same interaction with coaches that similar sports enjoy (swimming, xcountry).  Use of EE funding is allocated to team based projects largely around attendance at national championships.  While this is unique for athletics, it does raise some questions whether there are some camp based elements that could be included as staging to these events.
","Little contact with athletes outside of Team BC events. Working on PD events and hired a coach developer, more qualified coaches with Team BC and offer coach development grants. Suggest gaps in what NCCP offers and what coaches need, BCA instituting minimum standards in coaching in BC.","Use of funds is clearly articulated but is most directed to technical leadership and performance participation BC Team programming. Good addition of IST travel, but is 6 weeks out enough time to create positive intervention...and are any interventions provided tracked to understand performance potential? The plan outlined was largely driven by results. Despite higher standards it hasn't yielded more visibility with coaches. I did not see a clear plan, as outlined in their letter, to better articulate deliverables. The future state of programming proposed is more aligned to the desired visibility level and engagement with club based programming. There could be better use of IST interventions with targeted populations.  Hopefully this is the future state. Meghann does see open to learning and advancing or getting input into the strategy, but it would be great to see more rapid change and a culture shift toward a targeting strategy and greater program insights. ",
Basketball,Team,148.3333333,18.66666667,90.90909091,81.81818182,100,100,18.18181818,45.45454545,0,100,38.88888889,11.11111111,33.33333333,33.33333333,5.555555556,25.92592593,16.66666667,0.733333333,0.611111111,100,125,100,20.6,2,1.79,5.063291139,Basketball,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,3,2,0,4,9,Top Third,Middle Third,Botttom Third,Top Third,2.6,2.3,2.7,2.2,9.7,Botttom Third,Botttom Third,Botttom Third,Botttom Third,18.7,18,Botttom Third, $45.00 ," $7,000.00 "," $6,145.00 "," $1,590.00 "," $2,000.00 "," $16,780.00 ", $45.00 ," $7,000.00 "," $6,145.00 "," $1,590.00 "," $2,000.00 "," $16,780.00 ",Basketball,"Funding use was skipped. Some good mentorship for coaches but no clear plan to address NCCP gaps. No evidence of testing data changes, good evidence of athlete programming, small group coaching and targeted competition/skill development opportunities. Would love to see the mico KPIs that are monitored to show change against the macro KPI (ie dribble hand off or pick and roll)  ",Good presentation however lacking in concrete evidence. Didn't identify any KPI's and how to improve these through testing procedures.  Did not indicate if they have any diagnostics that would follow an FMS .Not clear if fitness testing is making any difference. Some good work going on but I feel that they need to become more targeted with the EE funds and use the money they generate for HP to 'touch everyone in the program'.,Similar presentation to previous years - Anecdotal KPIs with limited data to inform progression over time.  Need to follow up on targeted list and ensure they are registering both athlete and coaches.  Coach pathway is still challenging and limited by NCCP qualifications.  Pathway progression will always struggle until they are able to enhance programming in nextgen space which is largely the role of post-secondary institutions and need NSO leadership to change the paradigm.  SSSM is solid and they are able to 'safeguard' athletes that are in the provincial program.  Also good to know that they are identifying athletes that can move to a higher level as opposed to athletes that 'survive' club and HS programming.,
Biathlon,CGS,201.5,17.1,76.66666667,73.33333333,40,86.66666667,80,63.33333333,36.66666667,70,50,100,100,70,30,29.16666667,31.11111111,7.5,3,86.66666667,58.7,63.33333333,44,4,3.9,15.38461538,Biathlon,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,2,3,2,0,7,Middle Third,Top Third,Middle Third,Middle Third,4.4,4.3,4.0,3.7,16.4,Top Third,Top Third,Top Third,Top Third,23.4,12,Middle Third," $2,000.00 "," $22,000.00 "," $24,500.00 "," $6,500.00 ", $700.00 ," $55,700.00 ", $100.00 ," $8,600.00 "," $12,500.00 "," $6,500.00 ", $350.00 ," $28,050.00 ",Biathlon,"Great presentation. Stronger this year than last and kept to timing while hitting the majority of areas we are looking to see with a good level of detail. Would like to see the change to stronger data systems, but they do an excellent job with what they have. Good report card, system supports and excellent coach standards with club relationships ",Really solid presentation and evidence.  Nice to know that there is a bit of a database behind the athlete report cards.  Good overview of PD athletes who are actively registered and one attending CSS in PG.  Nice overview of IPP and Annual plans and how gaps inform the training process. Good overall program interventions and use of EE funding.  It would be good to identify other strategies (DND) to keep athletes in pathway longer which is happening to some degree.  Also curious how the data can be secured so that more analysis can be done on year on year improvement.  Important to ensure ongoing succession with Jessica going on maternity leave. ,Some very strong evidence provided. Starting to see good results within Canada and is putting BC athletes on the Olympic team. Great storytelling and EE funds are being put to good use. More athletes are being retained in the system and training for longer.,
Canoe Kayak,CGS,164.3,16,100,100,100,100,40,100,40,85.71428571,57.14285714,0,57.14285714,71.42857143,14.28571429,11.07142857,19.21624128,0.909090909,1.428571429,90,54,0,41.7,2,3.71,6.976744186,Canoe Kayak,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,6,3,2,1,12,Top Third,Top Third,Middle Third,Middle Third,4.0,4.2,4.0,3.0,15.2,Top Third,Top Third,Top Third,Middle Third,27.2,3,Top Third," $7,000.00 "," $4,000.00 "," $6,125.00 ", $500.00 ," $1,500.00 "," $19,125.00 "," $7,000.00 "," $4,000.00 "," $4,125.00 ", $500.00 ," $1,000.00 "," $16,625.00 ",CanoeKayak,"A good program is clearly improving. Stronger technique analytics are being paired with very good fitness and strength tracking. I like that they are showing clear KPI's and interventions across both key disciplines. Not many sports are doing this well. Strong club integration, despite a small active athlete pool this is still very good. NSO benchmarks are well informed into the programming. They have NCCP trainers and evaluators who can support this system, but as with many sports can overly training when they want, rather need the NSO to take the lead. Good service engagements for testing, I like their service approach of sponsor or low cost with high value to the program dollars. Strong mentor programs and strategies to build next gen coaches. Well engaged in viaSport mentorship programs. IST is engaged and they are widening the reach and frequency. They expressed some challenges with rowing and u-sport. They have some strategies but could do more to keep folks engaged when they move into other age categories that are more aligned to a u-sport path. ","Great presentation by Canoe/Kayak. There is a ton of metric tracking from comp standards, technical, physical, training volume, mental performance, and health. The coach development was well done, with monthly PD sessions and mentorship opportunities. Overall great information, an area for improvement would be to be concise on what what they are tracking, how they are addressing it, and a follow up with improvements. ",Presented some thorough data around the athlete testing and tracking. Some really good work on the coaching side particularly around coach mentorship.,
Cross Country Skiing,CGS,34.35,20.75,93.24324324,100,56.75675676,89.18918919,29.72972973,85.13513514,27.02702703,73.33333333,100,33.33333333,66.66666667,66.666667,13.33333333,27.77777778,41.66666667,9.25,4.933333333,68.91891892,66,82.43243243,33.3,11,3.56,25,Cross Country Skiing,No,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Yes,2,1,4,0,7,Middle Third,Botttom Third,Top Third,Middle Third,5.0,5.0,4.8,5.0,19.8,Top Third,Top Third,Top Third,Top Third,26.8,4,Top Third, $150.00 ," $4,000.00 "," $8,000.00 "," $3,000.00 ", $-   ," $15,150.00 ", $400.00 ," $3,000.00 "," $6,000.00 "," $2,500.00 ", $-   ," $11,900.00 ",Cross Country Skiing,"Cross Country is clearly leading in this space. They have strong fund diversification that allows them to build strong strategy and commit to a high level of club engagement, streamlined data solutions and evidence based interventions. Athlete agreements and minimum coach standards are in place. They have good line of site on gaps in coaching and have a willingness to engage with viaSport on furthering the impact. Clear use of funds with good understanding of the impact in each pillar. ","Very solid presentation with highly sophisticated use of data to inform decision making.  Clearly meeting all of the EE objectives and able to speak to program enhancements.  The presentation would be good to share with other PSOs in future powering podiums.  Need to examine how data integrations can be share across sector to preserve CSI Pacific IP, but help to build data infrastructure for other sports.   Also good to follow up on Comp-Dev multi sport delivery and how to tailor deliver to CC Coaches.  It would be good for CCBC to identify a coach for UBC program.",,
Curling,Team,81.66666667,40.41666667,100,100,100,100,14.81481481,62.96296296,12.03703704,34.04255319,70.21276596,23.40425532,48.93617021,17.0212766,4.255319149,22.22222222,12.82051282,9,2.29787234,100,112.0833333,100,16.5,9,3.54,2.564102564,Curling,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,5,0,0,3,8,Top Third,Botttom Third,Botttom Third,Top Third,4.3,4.5,3.8,4.5,17.0,Top Third,Top Third,Top Third,Top Third,25.0,9,Middle Third," $1,500.00 "," $1,000.00 "," $15,000.00 "," $1,500.00 "," $1,000.00 "," $20,000.00 "," $1,500.00 "," $1,000.00 "," $15,000.00 "," $1,500.00 "," $1,000.00 "," $20,000.00 ",Curling,"Curl BC had a great presentation! They have a high standard for testing and monitoring, and a lot of work has gone in to the development of this. It is great that they are combining technical/tactical video analysis with physical testing and ensuring it is accessible for athletes across the province. From a coaching perspective, they provide various opportunities for coaches - comp coach courses, encouraging other females to do the CAC WAGE program, Curl BC rockslide camp - on/off ice support and HP coach development program which includes 6-7 virtual workshops for coaching like philosophy/goal setting. They did a good job highlighting their funding and future goals as well. ","Excellent presentation by Kayla and Lindsay with support from Melissa and Scott.  Clear evidence of data tracking of KPIs and fitness results for targeted athletes with some ability to create athlete report cards (IPP).  Nice to see ongoing implementation of athlete journal.  In addition, some good information in interventions including S&C and technical feedback using video and curling specific technology.  While they are centralizing data, they could use support in report generation which could be enhanced through CSI Pacific data solutions.  Good to hear some strategies on how to use data to impact athlete personal or team coaches in a decentralized program, but more collaboration is desired in personal coach engagement.   Some good strategies around coaching education with some evidence for Comp-intro coaches.  While provincial coaches have or achieving Comp-Dev certification, it was not clear if there was a pathway to support HP coaches obtaining NCCP Comp-Dev qualification particularly for those coaches supporting more professional teams.  Excellent breakdown of EE expenditures and use of money, with some funding leveraged through CAC WAGE program which is ending for the next fiscal.   Nice to see that Kayla has applied for the UBC program.
","Programming continues on a positive trend. There are clear enhancements in equipment, quality of analytics deep into the PD2 level. The organization is leading practices in Curling Canada programming. They have good plans to address NCCP deficits and have a good mentorship strategy around coaching, that said their are significant NCCP and cultural gaps to over come. Dedicated HP training environments are well resourced, Victoria more so and new testing is coming on board. Added S&C components and better monitoring are showing results. Interventions on physical and technical are clear. Tactical intervention is missing a bit, would love to see what kind of tracking could be designed around skip analysis. Great work on articulating budget and money use EE and full performance portfolio.  ",Thorough presentation of KPI's and fitness testing. Shared financials and presented what they want to tackle next year. Understand the coaching gaps and have a plan to try and support coaches with PD. Regional centers working well and Victoria center now a regional performance center.
